"District","Town_Name","2011_Area_Km2","2001_Area_Km2","Area_Change_Reason","state_name","civic_status","clean_town_name"
"North Goa","Bandora C.T.",12.3,12.26,"Revised Computation","GOA","C.T.","Bandora "
"South Goa","Mormugao M.Cl.",27.4,27.37,"Revised Computation","GOA","M.Cl.","Mormugao Cl."
"South Goa","Chicalim C.T.",12.2,12.18,"Revised Computation","GOA","C.T.","Chicalim "
"South Goa","Sancoale C.T.",17.69,23.49,"Revised Computation","GOA","C.T.","Sancoale "
"South Goa","Navelim C.T.",5.3,5.25,"Revised Computation","GOA","C.T.","Navelim "
"South Goa","Benaulim C.T.",10.2,12.22,"Revised Computation","GOA","C.T.","Benaulim "
"South Goa","Varca C.T.",8.2,8.17,"Revised Computation","GOA","C.T.","Varca "
"South Goa","Quepem M.Cl.",14.2,14.14,"Revised Computation","GOA","M.Cl.","Quepem Cl."
"South Goa","Curchorem-Cacora M.Cl.",22.46,22.55,"Revised Computation","GOA","M.Cl.","Curchorem-Cacora Cl."
"South Goa","Sanvordem C.T.",8.14,5.11,"Revised Computation","GOA","C.T.","Sanvordem "
"South Goa","Canacona M.Cl.",20.81,18.69,"Revised Computation","GOA","M.Cl.","Canacona Cl."
"Kasaragod","Kanhangad M.",39.54,53.15,"Change in Jurisdiction","KERALA","M.","Kanhangad "
"Kozhikode","Kozhikode M.Corp.",84.29,127.54,"Change in Jurisdiction","KERALA","M.Corp.","Kozhikode Corp."
"Palakkad","Palakkad M.",26.6,45.02,"Change in Jurisdiction","KERALA","M.","Palakkad "
"Palakkad","Chittur Thathamangalam M.",14.71,26.18,"Change in Jurisdiction","KERALA","M.","Chittur Thathamangalam "
"Thrissur","Guruvayoor M.",7.48,12.44,"Change in Jurisdiction","KERALA","M.","Guruvayoor "
"Ernakulam","Kochi M.Corp.",94.88,133.44,"Change in Jurisdiction","KERALA","M.Corp.","Kochi Corp."
"Kottayam","Kottayam M.",15.99,50.12,"Change in Jurisdiction","KERALA","M.","Kottayam "
"Alappuzha","Cherthala M.",16.19,54.55,"Change in Jurisdiction","KERALA","M.","Cherthala "
"Thiruvananthapuram","Thiruvananthapuram M.Corp.",141.74,169.41,"Change in Jurisdiction","KERALA","M.Corp.","Thiruvananthapuram Corp."
"Thiruvallur","Ponneri T.P.",8.04,9.63,"Revised Computation","TAMIL NADU","T.P.","Ponneri "
"Thiruvallur","Arani T.P.",5,7.56,"Revised Computation","TAMIL NADU","T.P.","Arani "
"Thiruvallur","Minjur T.P.",8.25,8.62,"Revised Computation","TAMIL NADU","T.P.","Minjur "
"Thiruvallur","Athipattu C.T.",9.14,9.55,"Revised Computation","TAMIL NADU","C.T.","Athipattu "
"Thiruvallur","Padianallur C.T.",4.52,5.1,"Revised Computation","TAMIL NADU","C.T.","Padianallur "
"Thiruvallur","Tiruttani M.",12.36,12.42,"Revised Computation","TAMIL NADU","M.","Tiruttani "
"Thiruvallur","Ammavarikuppam C.T.",2.23,1.8,"Revised Computation","TAMIL NADU","C.T.","Ammavarikuppam "
"Thiruvallur","Thiruvallur M.",10.75,14.78,"Revised Computation","TAMIL NADU","M.","Thiruvallur "
"Thiruvallur","Vengathur C.T.",7.49,7.5,"Revised Computation","TAMIL NADU","C.T.","Vengathur "
"Thiruvallur","Tiruverkadu M.",28.5,18.6,"Revised Computation","TAMIL NADU","M.","Tiruverkadu "
"Thiruvallur","Poonamallee M.",25.55,15.55,"Change in jurisdiction","TAMIL NADU","M.","Poonamallee "
"Thiruvallur","Nerkunram C.T.",2.64,2.65,"Revised Computation","TAMIL NADU","C.T.","Nerkunram "
"Thiruvallur","Karambakkam C.T.",3.27,3.26,"Revised Computation","TAMIL NADU","C.T.","Karambakkam "
"Thiruvallur","Puzhal T.P.",11.75,45.6,"Change in jurisdiction","TAMIL NADU","T.P.","Puzhal "
"Thiruvallur","Madavaram M.",17.4,17.2,"Revised Computation","TAMIL NADU","M.","Madavaram "
"Chennai","Chennai  M.Corp.",174,175,"Revised Computation","TAMIL NADU","M.Corp.","Chennai  Corp."
"Kancheepuram","Manapakkam C.T.",6.6,4.1,"Revised Computation","TAMIL NADU","C.T.","Manapakkam "
"Kancheepuram","Chitlapakkam T.P.",2.9,2.95,"Revised Computation","TAMIL NADU","T.P.","Chitlapakkam "
"Kancheepuram","Tambaram M.",20.42,20.72,"Change in jurisdiction","TAMIL NADU","M.","Tambaram "
"Kancheepuram","Sembakkam T.P.",6.25,9.59,"Revised Computation","TAMIL NADU","T.P.","Sembakkam "
"Kancheepuram","Peerkankaranai T.P.",2.29,3.9,"Revised Computation","TAMIL NADU","T.P.","Peerkankaranai "
"Kancheepuram","St.Thomas Mount-cum-Pallavaram C.B.",12.92,12.91,"Revised Computation","TAMIL NADU","C.B.","St.Thomas Mount-cum-Pallavaram "
"Kancheepuram","Thiruneermalai T.P.",4.8,5.8,"Revised Computation","TAMIL NADU","T.P.","Thiruneermalai "
"Kancheepuram","Polichalur C.T.",2.5,2.49,"Revised Computation","TAMIL NADU","C.T.","Polichalur "
"Kancheepuram","Tirusulam C.T.",2.4,2.41,"Revised Computation","TAMIL NADU","C.T.","Tirusulam "
"Kancheepuram","Moovarasampettai C.T.",0.62,0.6,"Revised Computation","TAMIL NADU","C.T.","Moovarasampettai "
"Kancheepuram","Perungudi T.P.",4.64,6,"Revised Computation","TAMIL NADU","T.P.","Perungudi "
"Kancheepuram","Pallikaranai T.P.",17.36,17,"Revised Computation","TAMIL NADU","T.P.","Pallikaranai "
"Kancheepuram","Pudupattinam C.T.",6.54,10.04,"Revised Computation","TAMIL NADU","C.T.","Pudupattinam "
"Kancheepuram","Karunguzhi T.P.",6,6.89,"Revised Computation","TAMIL NADU","T.P.","Karunguzhi "
"Kancheepuram","Acharapakkam T.P.",6,5,"Revised Computation","TAMIL NADU","T.P.","Acharapakkam "
"Vellore","Kalinjur T.P.",11.5,11.2,"Revised Computation","TAMIL NADU","T.P.","Kalinjur "
"Vellore","Senur C.T.",8.01,7.87,"Revised Computation","TAMIL NADU","C.T.","Senur "
"Vellore","Kangeyanallur C.T.",8,5.82,"Revised Computation","TAMIL NADU","C.T.","Kangeyanallur "
"Vellore","Walajapet M.",2.64,2.6,"Revised Computation","TAMIL NADU","M.","Walajapet "
"Vellore","Melvisharam M.",8.67,8.96,"Revised Computation","TAMIL NADU","M.","Melvisharam "
"Vellore","Thakkolam T.P.",8.5,8.05,"Revised Computation","TAMIL NADU","T.P.","Thakkolam "
"Vellore","Vilapakkam T.P.",11.3,5,"Revised Computation","TAMIL NADU","T.P.","Vilapakkam "
"Vellore","Kalavai T.P.",4,4.62,"Revised Computation","TAMIL NADU","T.P.","Kalavai "
"Vellore","Vellore M.Corp.",11.65,10.52,"Revised Computation","TAMIL NADU","M.Corp.","Vellore Corp."
"Vellore","Thorapadi T.P.",5.849,5.84,"Revised Computation","TAMIL NADU","T.P.","Thorapadi "
"Vellore","Vaniyambadi M.",9.53,9,"Revised Computation","TAMIL NADU","M.","Vaniyambadi "
"Vellore","Jolarpet M.",13.06,13.6,"Revised Computation","TAMIL NADU","M.","Jolarpet "
"Vellore","Sevur C.T.",3.232,9,"Revised Computation","TAMIL NADU","C.T.","Sevur "
"Vellore","Narasingapuram C.T.",4.13,7.5,"Revised Computation","TAMIL NADU","C.T.","Narasingapuram "
"Vellore","Virupakshipuram C.T.",3.46,5.97,"Revised Computation","TAMIL NADU","C.T.","Virupakshipuram "
"Vellore","Konavattam C.T.",2.62,2.68,"Revised Computation","TAMIL NADU","C.T.","Konavattam "
"Vellore","Palavansathu C.T.",5.97,3.46,"Revised Computation","TAMIL NADU","C.T.","Palavansathu "
"Vellore","Chettithangal C.T.",7.5,4.13,"Revised Computation","TAMIL NADU","C.T.","Chettithangal "
"Tiruvannamalai","Sathiyavijayanagaram C.T.",2.1,2.05,"Revised Computation","TAMIL NADU","C.T.","Sathiyavijayanagaram "
"Tiruvannamalai","Dusi C.T.",6.15,3.78,"Revised Computation","TAMIL NADU","C.T.","Dusi "
"Tiruvannamalai","Peranamallur T.P.",15.5,15.02,"Revised Computation","TAMIL NADU","T.P.","Peranamallur "
"Tiruvannamalai","Vandavasi M.",9.71,19.16,"Revised Computation","TAMIL NADU","M.","Vandavasi "
"Tiruvannamalai","Kalambur T.P.",5.48,5.8,"Revised Computation","TAMIL NADU","T.P.","Kalambur "
"Tiruvannamalai","Vettavalam T.P.",8,16.25,"Revised Computation","TAMIL NADU","T.P.","Vettavalam "
"Tiruvannamalai","Arani M.",11.62,9.76,"Revised Computation","TAMIL NADU","M.","Arani "
"Villupuram","Vikravandi T.P.",6.8,12.22,"Revised Computation","TAMIL NADU","T.P.","Vikravandi "
"Villupuram","Viluppuram M.",8.36,8.37,"Revised Computation","TAMIL NADU","M.","Viluppuram "
"Villupuram","Valavanur T.P.",5.6,11.25,"Revised Computation","TAMIL NADU","T.P.","Valavanur "
"Villupuram","Tirukkoyilur T.P.",7.41,12,"Revised Computation","TAMIL NADU","T.P.","Tirukkoyilur "
"Villupuram","Sankarapuram T.P.",11.6,9.5,"Revised Computation","TAMIL NADU","T.P.","Sankarapuram "
"Villupuram","Kallakkurichi M.",11.69,16.01,"Revised Computation","TAMIL NADU","M.","Kallakkurichi "
"Villupuram","Chinnasalem T.P.",5.8,9.31,"Revised Computation","TAMIL NADU","T.P.","Chinnasalem "
"Salem","Kadayampatti T.P.",3.61,9.14,"Revised Computation","TAMIL NADU","T.P.","Kadayampatti "
"Salem","Karuppur T.P.",12,9.63,"Revised Computation","TAMIL NADU","T.P.","Karuppur "
"Salem","Panaimarathupatti T.P.",12,16.35,"Revised Computation","TAMIL NADU","T.P.","Panaimarathupatti "
"Salem","Mallur T.P.",10.24,6.76,"Revised Computation","TAMIL NADU","T.P.","Mallur "
"Salem","Dalavaipatti C.T.",1.75,2.92,"Revised Computation","TAMIL NADU","C.T.","Dalavaipatti "
"Salem","Narasingapuram M.",14.83,14.69,"Revised Computation","TAMIL NADU","M.","Narasingapuram "
"Salem","Veeraganur T.P.",9,22.51,"Revised Computation","TAMIL NADU","T.P.","Veeraganur "
"Salem","Thedavur T.P.",8,18.5,"Revised Computation","TAMIL NADU","T.P.","Thedavur "
"Salem","Gangavalli T.P.",4,17.57,"Revised Computation","TAMIL NADU","T.P.","Gangavalli "
"Salem","Thammampatti T.P.",8,21.98,"Revised Computation","TAMIL NADU","T.P.","Thammampatti "
"Salem","Keeripatti T.P.",16,26.87,"Revised Computation","TAMIL NADU","T.P.","Keeripatti "
"Salem","Pethanaickenpalayam T.P.",12.9,23.13,"Revised Computation","TAMIL NADU","T.P.","Pethanaickenpalayam "
"Salem","Ethapur T.P.",8,15.11,"Revised Computation","TAMIL NADU","T.P.","Ethapur "
"Salem","Mecheri T.P.",12.5,19.59,"Revised Computation","TAMIL NADU","T.P.","Mecheri "
"Salem","Vazhapadi T.P.",8,12,"Revised Computation","TAMIL NADU","T.P.","Vazhapadi "
"Salem","Sentharapatti T.P.",9,12.35,"Revised Computation","TAMIL NADU","T.P.","Sentharapatti "
"Salem","Belur T.P.",6.8,8.2,"Revised Computation","TAMIL NADU","T.P.","Belur "
"Salem","Attur M.",27.62,28.49,"Revised Computation","TAMIL NADU","M.","Attur "
"Salem","P.N.Patti T.P.",39.36,39.86,"Revised Computation","TAMIL NADU","T.P.","Patti T.P."
"Salem","Attayampatti T.P.",2.4,2.68,"Revised Computation","TAMIL NADU","T.P.","Attayampatti "
"Salem","Thevur T.P.",7.25,7.45,"Revised Computation","TAMIL NADU","T.P.","Thevur "
"Salem","Edappadi M.",28.22,28.21,"Revised Computation","TAMIL NADU","M.","Edappadi "
"Salem","Maramangalathupatti C.T.",4.5,4.47,"Revised Computation","TAMIL NADU","C.T.","Maramangalathupatti "
"Salem","Arasiramani T.P.",28.6,28.16,"Revised Computation","TAMIL NADU","T.P.","Arasiramani "
"Salem","Neykkarappatti C.T.",3.98,2.95,"Revised Computation","TAMIL NADU","C.T.","Neykkarappatti "
"Salem","Papparapatti C.T.",4,2.85,"Revised Computation","TAMIL NADU","C.T.","Papparapatti "
"Salem","Jalakandapuram T.P.",4.66,1.53,"Revised Computation","TAMIL NADU","T.P.","Jalakandapuram "
"Salem","Avadattur C.T.",9.5,6,"Revised Computation","TAMIL NADU","C.T.","Avadattur "
"Salem","Kondalampatti C.T.",8.2,2.27,"Revised Computation","TAMIL NADU","C.T.","Kondalampatti "
"Namakkal","Kumarapalayam M.",7.1,7.8,"Revised Computation","TAMIL NADU","M.","Kumarapalayam "
"Namakkal","Alampalayam T.P.",10.3,8.45,"Revised Computation","TAMIL NADU","T.P.","Alampalayam "
"Namakkal","Pallipalayam Agraharam C.T.",8.45,1.86,"Revised Computation","TAMIL NADU","C.T.","Pallipalayam Agraharam "
"Namakkal","Athanur T.P.",4.4,3.24,"Revised Computation","TAMIL NADU","T.P.","Athanur "
"Namakkal","Pattinam T.P.",5.63,4.88,"Revised Computation","TAMIL NADU","T.P.","Pattinam "
"Namakkal","Pillanallur T.P.",4.66,3.56,"Revised Computation","TAMIL NADU","T.P.","Pillanallur "
"Namakkal","Kalappanaickenpatti T.P.",6,6.8,"Revised Computation","TAMIL NADU","T.P.","Kalappanaickenpatti "
"Namakkal","Senthamangalam T.P.",8.8,8.08,"Revised Computation","TAMIL NADU","T.P.","Senthamangalam "
"Namakkal","Mohanur T.P.",3,2,"Revised Computation","TAMIL NADU","T.P.","Mohanur "
"Namakkal","Pandamangalam T.P.",2.5,4,"Revised Computation","TAMIL NADU","T.P.","Pandamangalam "
"Erode","Sathyamangalam M.",29.94,29.23,"Revised Computation","TAMIL NADU","M.","Sathyamangalam "
"Erode","Kembainaickenpalayam T.P.",14,22.08,"Revised Computation","TAMIL NADU","T.P.","Kembainaickenpalayam "
"Erode","Ariyappampalayam T.P.",9.06,15.37,"Revised Computation","TAMIL NADU","T.P.","Ariyappampalayam "
"Erode","Punjaipuliampatti M.",4.54,5.77,"Revised Computation","TAMIL NADU","M.","Punjaipuliampatti "
"Erode","Olagadam T.P.",5.56,15.56,"Revised Computation","TAMIL NADU","T.P.","Olagadam "
"Erode","Athani T.P.",8,12.53,"Revised Computation","TAMIL NADU","T.P.","Athani "
"Erode","Jambai T.P.",24.29,24.22,"Revised Computation","TAMIL NADU","T.P.","Jambai "
"Erode","Appakudal T.P.",7.44,11.6,"Revised Computation","TAMIL NADU","T.P.","Appakudal "
"Erode","Periyakodiveri T.P.",12.4,20.36,"Revised Computation","TAMIL NADU","T.P.","Periyakodiveri "
"Erode","Vaniputhur T.P.",8,15.24,"Revised Computation","TAMIL NADU","T.P.","Vaniputhur "
"Erode","Lakkampatti T.P.",13.5,13.8,"Revised Computation","TAMIL NADU","T.P.","Lakkampatti "
"Erode","Kasipalayam (G) T.P.",8.48,12.26,"Revised Computation","TAMIL NADU","T.P.","Kasipalayam ( T.P."
"Erode","Kuhalur T.P.",20.72,16.68,"Revised Computation","TAMIL NADU","T.P.","Kuhalur "
"Erode","P.Mettupalayam T.P.",11.47,11.55,"Revised Computation","TAMIL NADU","T.P.","Mettupalayam T.P."
"Erode","Elathur T.P.",8.13,18.68,"Revised Computation","TAMIL NADU","T.P.","Elathur "
"Erode","Kolappalur T.P.",11.4,18.03,"Revised Computation","TAMIL NADU","T.P.","Kolappalur "
"Erode","Nambiyur T.P.",9.5,28,"Revised Computation","TAMIL NADU","T.P.","Nambiyur "
"Erode","Pallapalayam T.P.",16.11,16.12,"Revised Computation","TAMIL NADU","T.P.","Pallapalayam "
"Erode","Kanjikoil T.P.",24,20,"Revised Computation","TAMIL NADU","T.P.","Kanjikoil "
"Erode","Pethampalayam T.P.",19,19.27,"Revised Computation","TAMIL NADU","T.P.","Pethampalayam "
"Erode","Karumandi Chellipalayam T.P.",25.06,25.6,"Revised Computation","TAMIL NADU","T.P.","Karumandi Chellipalayam "
"Erode","Perundurai T.P.",23.2,23.39,"Revised Computation","TAMIL NADU","T.P.","Perundurai "
"Erode","Brahmana Periya Agraharam T.P.",11.52,7.79,"Revised Computation","TAMIL NADU","T.P.","Brahmana Periya Agraharam "
"Erode","Nasiyanur T.P.",2.2,2.24,"Revised Computation","TAMIL NADU","T.P.","Nasiyanur "
"Erode","Kasipalayam (E) M.",48.64,48.8,"Revised Computation","TAMIL NADU","M.","Kasipalayam ( M."
"Erode","Avalpoondurai T.P.",26.26,20.02,"Revised Computation","TAMIL NADU","T.P.","Avalpoondurai "
"Erode","Modakurichi T.P.",11.78,16.77,"Revised Computation","TAMIL NADU","T.P.","Modakurichi "
"Erode","Vellottamparappu T.P.",13.5,5,"Revised Computation","TAMIL NADU","T.P.","Vellottamparappu "
"Erode","Vadugapatti T.P.",30,29,"Revised Computation","TAMIL NADU","T.P.","Vadugapatti "
"Erode","Unjalur T.P.",5.2,5.21,"Revised Computation","TAMIL NADU","T.P.","Unjalur "
"Erode","Kollankoil T.P.",12.12,12.47,"Revised Computation","TAMIL NADU","T.P.","Kollankoil "
"Erode","Vengampudur T.P.",17.1,17.82,"Revised Computation","TAMIL NADU","T.P.","Vengampudur "
"Erode","Chennasamudram T.P.",10.83,10.74,"Revised Computation","TAMIL NADU","T.P.","Chennasamudram "
"The Nilgiris","Nelliyalam M.",94.28,95,"Revised Computation","TAMIL NADU","M.","Nelliyalam "
"The Nilgiris","Gudalur M.",47.71,47.41,"Revised Computation","TAMIL NADU","M.","Gudalur "
"The Nilgiris","Naduvattam T.P.",61.7,106.05,"Revised Computation","TAMIL NADU","T.P.","Naduvattam "
"The Nilgiris","Adikaratti T.P.",18,44.46,"Revised Computation","TAMIL NADU","T.P.","Adikaratti "
"The Nilgiris","Huligal T.P.",22,115,"Revised Computation","TAMIL NADU","T.P.","Huligal "
"The Nilgiris","Aravankad T.S.",4.25,1.3,"Revised Computation","TAMIL NADU","T.S.","Aravankad "
"The Nilgiris","Hubbathala C.T.",6.39,8.87,"Revised Computation","TAMIL NADU","C.T.","Hubbathala "
"The Nilgiris","Bikketti T.P.",13,8,"Revised Computation","TAMIL NADU","T.P.","Bikketti "
"The Nilgiris","Kilkunda T.P.",26.21,28,"Revised Computation","TAMIL NADU","T.P.","Kilkunda "
"Dindigul","Keeranur T.P.",12.8,9.59,"Revised Computation","TAMIL NADU","T.P.","Keeranur "
"Dindigul","Palayam T.P.",24.14,39.13,"Revised Computation","TAMIL NADU","T.P.","Palayam "
"Dindigul","Vadamadurai T.P.",16.09,24.73,"Revised Computation","TAMIL NADU","T.P.","Vadamadurai "
"Dindigul","Balakrishnapuram C.T.",14.1,21.05,"Revised Computation","TAMIL NADU","C.T.","Balakrishnapuram "
"Dindigul","Kodaikanal M.",21.45,21.34,"Revised Computation","TAMIL NADU","M.","Kodaikanal "
"Dindigul","Ayyalur T.P.",21,25.72,"Revised Computation","TAMIL NADU","T.P.","Ayyalur "
"Dindigul","Eriodu T.P.",15.17,15.18,"Revised Computation","TAMIL NADU","T.P.","Eriodu "
"Karur","Puliyur T.P.",9.68,19.98,"Revised Computation","TAMIL NADU","T.P.","Puliyur "
"Karur","Krishnarayapuram T.P.",16,17.42,"Revised Computation","TAMIL NADU","T.P.","Krishnarayapuram "
"Karur","P. J. Cholapuram T.P.",16.46,27.67,"Revised Computation","TAMIL NADU","J."," J. Cholapuram T.P."
"Karur","Kulithalai M.",11.16,19,"Revised Computation","TAMIL NADU","M.","Kulithalai "
"Karur","Marudur T.P.",17.7,24.63,"Revised Computation","TAMIL NADU","T.P.","Marudur "
"Karur","Nangavaram T.P.",39,32,"Revised Computation","TAMIL NADU","T.P.","Nangavaram "
"Karur","Aravakurichi T.P.",24,20,"Revised Computation","TAMIL NADU","T.P.","Aravakurichi "
"Tiruchirappalli","Thottiyam T.P.",31.95,17,"Revised Computation","TAMIL NADU","T.P.","Thottiyam "
"Tiruchirappalli","Mettupalayam T.P.",8.84,38.4,"Revised Computation","TAMIL NADU","T.P.","Mettupalayam "
"Tiruchirappalli","Musiri T.P.",18.8,15.6,"Revised Computation","TAMIL NADU","T.P.","Musiri "
"Tiruchirappalli","Uppiliapuram T.P.",7.16,5.88,"Revised Computation","TAMIL NADU","T.P.","Uppiliapuram "
"Tiruchirappalli","S. Kannanur T.P.",4.5,7.6,"Revised Computation","TAMIL NADU","T.P."," Kannanur T.P."
"Tiruchirappalli","Kallakudi T.P.",11,11.09,"Revised Computation","TAMIL NADU","T.P.","Kallakudi "
"Tiruchirappalli","Lalgudi T.P.",10.03,8.82,"Revised Computation","TAMIL NADU","T.P.","Lalgudi "
"Tiruchirappalli","Koothappar T.P.",9.4,9.43,"Revised Computation","TAMIL NADU","T.P.","Koothappar "
"Tiruchirappalli","Thuvakudi M.",14.37,4.37,"Revised Computation","TAMIL NADU","M.","Thuvakudi "
"Tiruchirappalli","Pappankurichi C.T.",4.929,18.06,"Revised Computation","TAMIL NADU","C.T.","Pappankurichi "
"Tiruchirappalli","Krishnasamudram C.T.",6.044,5.8,"Revised Computation","TAMIL NADU","C.T.","Krishnasamudram "
"Tiruchirappalli","Navalpattu C.T.",17.086,7.37,"Revised Computation","TAMIL NADU","C.T.","Navalpattu "
"Tiruchirappalli","Palaganangudy C.T.",13.871,12.65,"Revised Computation","TAMIL NADU","C.T.","Palaganangudy "
"Tiruchirappalli","Ponnampatti T.P.",10.83,37.03,"Revised Computation","TAMIL NADU","T.P.","Ponnampatti "
"Perambalur","Poolambadi T.P.",18,18.3,"Revised Computation","TAMIL NADU","T.P.","Poolambadi "
"Perambalur","Arumbavur T.P.",22.6,20.6,"Revised Computation","TAMIL NADU","T.P.","Arumbavur "
"Perambalur","Perambalur M.",20.59,11.6,"Change in jurisdiction","TAMIL NADU","M.","Perambalur "
"Perambalur","Kurumbalur T.P.",17.6,30.68,"Revised Computation","TAMIL NADU","T.P.","Kurumbalur "
"Perambalur","Labbaikudikadu T.P.",4.88,3.88,"Revised Computation","TAMIL NADU","T.P.","Labbaikudikadu "
"Ariyalur","Varadarajanpettai T.P.",5.2,6.62,"Revised Computation","TAMIL NADU","T.P.","Varadarajanpettai "
"Ariyalur","Jayankondam M.",28.49,16,"Revised Computation","TAMIL NADU","M.","Jayankondam "
"Ariyalur","Udayarpalayam T.P.",12,12.4,"Revised Computation","TAMIL NADU","T.P.","Udayarpalayam "
"Cuddalore","Thorapadi T.P.",5.3,2.06,"Revised Computation","TAMIL NADU","T.P.","Thorapadi "
"Cuddalore","Melpattampakkam T.P.",5.67,5.06,"Revised Computation","TAMIL NADU","T.P.","Melpattampakkam "
"Cuddalore","Panruti M.",18.03,18.02,"Revised Computation","TAMIL NADU","M.","Panruti "
"Cuddalore","Neyveli T.S.",140.74,97.27,"Revised Computation","TAMIL NADU","T.S.","Neyveli "
"Cuddalore","Sethiathoppu T.P.",12,5.71,"Revised Computation","TAMIL NADU","T.P.","Sethiathoppu "
"Cuddalore","Bhuvanagiri T.P.",14.886,11.4,"Revised Computation","TAMIL NADU","T.P.","Bhuvanagiri "
"Cuddalore","Chidambaram M.",4.82,4.79,"Revised Computation","TAMIL NADU","M.","Chidambaram "
"Cuddalore","Annamalai Nagar T.P.",4.2,5.05,"Revised Computation","TAMIL NADU","T.P.","Annamalai Nagar "
"Cuddalore","Srimushnam T.P.",15.72,5.75,"Revised Computation","TAMIL NADU","T.P.","Srimushnam "
"Cuddalore","Lalpet T.P.",13.59,5.28,"Revised Computation","TAMIL NADU","T.P.","Lalpet "
"Cuddalore","Kattumannarkoil T.P.",19.425,12.34,"Revised Computation","TAMIL NADU","T.P.","Kattumannarkoil "
"Cuddalore","Mangalampet T.P.",1.21,3.13,"Revised Computation","TAMIL NADU","T.P.","Mangalampet "
"Cuddalore","Gangaikondan T.P.",19.5,19.02,"Revised Computation","TAMIL NADU","T.P.","Gangaikondan "
"Cuddalore","Virudhachalam M.",25.57,27.24,"Revised Computation","TAMIL NADU","M.","Virudhachalam "
"Cuddalore","Pennadam T.P.",5.66,9.21,"Revised Computation","TAMIL NADU","T.P.","Pennadam "
"Cuddalore","Tittakudi T.P.",14.5,11.38,"Revised Computation","TAMIL NADU","T.P.","Tittakudi "
"Nagapattinam","Vaitheeswarankoil T.P.",8.29,11.27,"Revised Computation","TAMIL NADU","T.P.","Vaitheeswarankoil "
"Nagapattinam","Tittacheri T.P.",6,5,"Revised Computation","TAMIL NADU","T.P.","Tittacheri "
"Nagapattinam","Kilvelur T.P.",4,4.25,"Revised Computation","TAMIL NADU","T.P.","Kilvelur "
"Nagapattinam","Thalainayar T.P.",49.05,49.5,"Revised Computation","TAMIL NADU","T.P.","Thalainayar "
"Nagapattinam","Tharangambadi T.P.",13,19.22,"Revised Computation","TAMIL NADU","T.P.","Tharangambadi "
"Nagapattinam","Velankanni T.P.",5.5,5,"Revised Computation","TAMIL NADU","T.P.","Velankanni "
"Thiruvarur","Kodavasal T.P.",15,12,"Revised Computation","TAMIL NADU","T.P.","Kodavasal "
"Thiruvarur","Koradacheri T.P.",3.9,4.5,"Revised Computation","TAMIL NADU","T.P.","Koradacheri "
"Thiruvarur","Peralam T.P.",3.76,3.96,"Revised Computation","TAMIL NADU","T.P.","Peralam "
"Thanjavur","Thirupuvanam T.P.",5.66,1.66,"Revised Computation","TAMIL NADU","T.P.","Thirupuvanam "
"Thanjavur","Thiruvidaimarudur T.P.",12.5,12,"Revised Computation","TAMIL NADU","T.P.","Thiruvidaimarudur "
"Thanjavur","Cholapuram T.P.",7.07,7.7,"Revised Computation","TAMIL NADU","T.P.","Cholapuram "
"Thanjavur","Papanasam T.P.",11.52,11.51,"Revised Computation","TAMIL NADU","T.P.","Papanasam "
"Thanjavur","Melattur T.P.",25.5,25.4,"Revised Computation","TAMIL NADU","T.P.","Melattur "
"Thanjavur","Ammapettai T.P.",7.5,18,"Revised Computation","TAMIL NADU","T.P.","Ammapettai "
"Thanjavur","Thiruvaiyaru T.P.",5.56,5.55,"Revised Computation","TAMIL NADU","T.P.","Thiruvaiyaru "
"Thanjavur","Melathiruppanthuruthi T.P.",12,12.89,"Revised Computation","TAMIL NADU","T.P.","Melathiruppanthuruthi "
"Thanjavur","Orathanadu (Mukthambalpuram) T.P.",7.26,7.2,"Revised Computation","TAMIL NADU","T.P.","Orathanadu (Mukthambalpuram) "
"Thanjavur","Madukkur T.P.",5.75,29.75,"Revised Computation","TAMIL NADU","T.P.","Madukkur "
"Thanjavur","Adiramapattinam T.P.",12.8,12.83,"Revised Computation","TAMIL NADU","T.P.","Adiramapattinam "
"Thanjavur","Perumagalur T.P.",16,17.83,"Revised Computation","TAMIL NADU","T.P.","Perumagalur "
"Thanjavur","Swamimalai T.P.",2.12,12.14,"Revised Computation","TAMIL NADU","T.P.","Swamimalai "
"Pudukkottai","Annavasal T.P.",10.51,11.54,"Revised Computation","TAMIL NADU","T.P.","Annavasal "
"Pudukkottai","Nathampannai C.T.",3.5,4.5,"Revised Computation","TAMIL NADU","C.T.","Nathampannai "
"Pudukkottai","Pudukkottai C.T.",5.5,9,"Revised Computation","TAMIL NADU","C.T.","Pudukkottai "
"Pudukkottai","Keeramangalam T.P.",35.5,13.14,"Revised Computation","TAMIL NADU","T.P.","Keeramangalam "
"Pudukkottai","Karambakkudi T.P.",5.6,26.14,"Revised Computation","TAMIL NADU","T.P.","Karambakkudi "
"Sivaganga","Nerkuppai T.P.",8,6,"Revised Computation","TAMIL NADU","T.P.","Nerkuppai "
"Sivaganga","Singampuneri T.P.",8.4,10.4,"Revised Computation","TAMIL NADU","T.P.","Singampuneri "
"Sivaganga","Tirupathur T.P.",14.4,13.1,"Revised Computation","TAMIL NADU","T.P.","Tirupathur "
"Sivaganga","Pallathur T.P.",7,2.58,"Revised Computation","TAMIL NADU","T.P.","Pallathur "
"Sivaganga","Kottaiyur T.P.",6.75,8.75,"Revised Computation","TAMIL NADU","T.P.","Kottaiyur "
